id,long,lat,height,radius
67,114.12993896704678,-12.203424812564933,412.7595360020482 km,5878.741090819427 km
68,145.95161166228542,-23.191449857070392,472.0279121901347 km,9040.629354917 km
69,134.60641212874094,-23.031461846326724,592.9803615818691 km,20847.213222594888 km
70,128.98492152372896,-9.51993774701404,290.1197748958298 km,5203.778145743388 km
71,122.6275338533614,-32.883025668987834,251.1458524303733 km,28361.244527559225 km
72,122.88785964461891,-22.8582321052325,417.9099512673656 km,7798.644695962413 km
73,135.6897230136746,-23.78730601856132,575.7014186612743 km,24474.70270405599 km
74,117.20241517288507,-14.26260039705019,543.8711624733292 km,16606.879590609136 km
75,132.06877568147556,-35.93800013035457,102.98518667601932 km,11664.818732670486 km
76,139.0861205899599,-13.814754121448427,105.51212447677513 km,22690.64928001881 km
77,146.72108720703062,-14.744659269761463,402.8482035635007 km,20050.59548764713 km
78,150.82300429894465,-40.86438636862419,314.1437329496749 km,7445.307789785542 km
79,144.5827839831125,-15.511133627702463,147.9786109402026 km,6804.638424140259 km
80,117.17591408979618,-42.641763395859755,254.90616422041765 km,13920.832623655147 km
81,138.122876673772,-21.212379802652872,427.5645121805336 km,26828.534101164165 km
82,135.16023210555824,-42.50781873736485,103.88591684866962 km,29411.22585419195 km
83,111.73148584680352,-37.02199017124961,410.12429656938775 km,23789.29313852102 km
84,143.95962916608272,-30.183936421762354,341.7885632195615 km,20733.75888582119 km
85,116.42182284088038,-39.246431302074775,552.9722405932156 km,11065.87607716979 km
86,125.71976446634432,-24.987878955681026,131.11357390678882 km,8523.600029302263 km
87,129.90437123596146,-40.905095570170566,299.0464373293538 km,17283.82215119376 km
88,125.3944448679142,-39.531170663097505,197.70643415318915 km,17360.841398160235 km
89,138.35785989649582,-12.027277169083327,326.9570978128258 km,19015.922684535726 km
90,143.3657449468438,-15.646401871677327,392.34105139097903 km,14887.191643632084 km
91,147.23729743512996,-27.58430745947753,233.06001093962544 km,8877.489098860637 km
92,111.05934473892877,-36.66940879425006,247.5894442117755 km,6018.205864326538 km
93,131.43694291803877,-28.324927117392832,569.3560667555464 km,17403.10027561772 km
94,118.99759395162289,-11.375166482808964,524.7567710533193 km,7536.211662410093 km
95,134.80491259492572,-15.552740783157752,261.68386215643187 km,9291.858818781197 km
96,138.59899573570124,-16.218134074567086,322.821977692689 km,20401.751412754475 km
97,119.11878247076302,-17.94165503456304,376.7981085565635 km,26387.25640856282 km
98,122.09876707066304,-14.937013211405919,256.538318933195 km,5986.544744313075 km
99,145.86589758619562,-35.35518038494632,220.62412497477987 km,5737.82083656615 km
100,135.31328428164355,-37.18486387376993,492.2916970771012 km,28312.354105723363 km
101,135.52818806144208,-27.179860045019684,482.95547214654283 km,17253.393339910275 km
102,116.8222377179092,-40.01505061236696,194.4503723575284 km,7728.474021623886 km
103,115.13470577286562,-42.13641647281043,353.637389149103 km,15724.98653411934 km
104,129.34287097548528,-39.297772053923545,520.2904302383531 km,16119.24131979012 km
105,130.00542999962374,-21.746007756208865,514.5000533783336 km,13686.583490852176 km
106,130.416520997059,-9.725657202911862,358.68165728697386 km,6961.7776485725135 km
107,133.74527582867498,-23.923495369533075,128.98974430022605 km,28847.070896774934 km
108,150.90667674147542,-44.07806912398823,199.8693693829125 km,20552.76387190123 km
109,123.24573108581369,-19.597662740908802,313.0963504950437 km,21652.03884581371 km
110,123.24077825325594,-11.118214406339042,233.64580290319572 km,23075.042440698453 km
111,146.25482414305355,-38.25138417123506,597.7638328938067 km,26451.97625613942 km
112,152.48244165547055,-35.969862688203165,155.27070798439428 km,27313.46342949674 km
113,144.63661466653667,-42.76829475468184,442.63756597397213 km,8087.376646592897 km
114,143.918385599243,-35.02794102781532,106.28669518633096 km,28246.74138323659 km
115,134.0670425457878,-21.242788941020937,545.9795987202515 km,18320.84712566075 km
116,112.92812330939326,-37.903762444317884,465.32114016498804 km,8565.005150183686 km
117,141.5852668675159,-36.23335641244324,145.83134042808285 km,8931.272145292705 km
118,146.29419218306475,-38.699473690459584,120.20080490067943 km,25873.7819339439 km
119,115.03056501534022,-36.48686909923332,387.82771784324035 km,24894.3448935652 km
120,143.6931492404558,-20.186349643713708,174.68161024956788 km,5972.042281091134 km
121,134.40648033615997,-21.635219524730534,101.5593547831832 km,11192.272880096843 km
122,124.18467740472911,-33.1662858162889,257.9766773622599 km,17004.268120023324 km
123,143.35872370242498,-15.032799942771526,180.58061718997928 km,15385.500384689603 km
124,134.87145954104244,-18.380512852535414,144.4790962521135 km,18153.830482698562 km
125,137.4613767779967,-24.614542987679698,483.33431477961597 km,8602.178803979872 km
126,140.1120109846068,-16.743869299986493,556.3358537666797 km,8589.728066279069 km
127,130.0064758615378,-33.755317433449264,159.14848376209787 km,22873.03934227091 km
128,143.11808692277464,-14.689268235168804,365.44275355049234 km,25294.917691578456 km
129,126.12698046135675,-18.857150555523482,547.4148646945287 km,13827.883775543929 km
130,153.48203534088879,-24.336935806472678,294.0799686085876 km,10879.850717235408 km
131,149.0793591114907,-16.275246368914857,352.0494905328894 km,9169.812703489606 km
132,115.59421248853175,-34.628914680541925,232.34996406403855 km,15504.34367601011 km
133,154.89293619128986,-10.32888634758892,309.8190547240145 km,22507.32317007841 km
134,129.74064505821624,-17.447310768613423,527.4028584708816 km,6092.29304963942 km
135,153.9852493903931,-29.255665831618533,512.5616811041754 km,11514.62899717443 km
136,154.55912143756922,-39.35119471725548,450.6770080292085 km,15721.032204753306 km
137,143.9938034254918,-26.81731977311259,299.5088757162207 km,18205.594741635283 km
138,136.7712946599497,-10.282282162513276,442.6286643631199 km,18153.32369965397 km
139,125.94024606815282,-24.269777033655604,339.47279906928793 km,29547.532678983775 km
140,140.80398995214188,-11.566870392312474,561.1856844097618 km,9073.751558446489 km
141,113.40913814638576,-15.920060542889772,452.1402617063758 km,6086.000399120729 km
142,148.91296770290856,-24.790257461693233,350.8540538021033 km,13842.414884609065 km
143,132.9797419027102,-18.793568458595598,190.8494599655691 km,14102.698888951489 km
144,154.4728931159982,-20.980167931342802,538.3876618556355 km,18399.53033930696 km
145,124.63540397313484,-31.811097187808762,401.98185242174975 km,15074.840067070143 km
146,151.8376692841683,-19.598257886667906,156.12254372670972 km,29475.109882990204 km
147,117.92594379780185,-34.584703864383116,232.9260117744417 km,19095.529147361107 km
148,114.49399933023493,-22.239184664784272,155.26092646091863 km,7739.675272623061 km
149,153.87350224904569,-14.401048423128497,491.7953137970455 km,13936.297172758417 km
150,137.7690698481843,-33.711314338146785,329.2616175005518 km,22604.512255641945 km
151,143.8244664366994,-11.27131123370578,476.8142486496766 km,16007.300584275443 km
152,142.41672198603857,-32.29501735426373,355.6454548043307 km,20429.728202556853 km
153,118.74684021201162,-39.509573524368164,345.90982954618187 km,19437.173395859412 km
154,126.21832649528376,-22.666114041707125,117.94786489231453 km,8459.879702929029 km
155,153.01870454996964,-22.140141395522296,510.66553541561035 km,15415.615063652245 km
156,140.7158451260284,-22.104537709607673,353.27637605007425 km,13005.073940022328 km
157,126.32431788697355,-37.553992465534854,260.24541308772586 km,14447.656670049151 km
158,131.8298794879152,-31.29132426574732,599.7992892380801 km,19975.428626288885 km
159,133.18413057871365,-18.871887060177844,535.487249512013 km,28735.74794928541 km
160,134.13678245479028,-39.87674644475336,296.57243694227066 km,10843.80727201443 km
161,126.14923957622464,-16.208127014868044,310.8947136556717 km,19823.9773378875 km
162,115.20619067552963,-38.06936230425568,138.59142626476748 km,15695.853775520916 km
163,111.08091394136127,-16.614431418856736,440.82246261201703 km,14970.322991992683 km
164,121.08831936199537,-25.821260345228474,389.9643486661707 km,16401.401431404644 km
165,120.34110269495203,-13.786379803882944,388.2130839310745 km,16539.60390297276 km
166,123.20258467678516,-33.44250707261298,535.5562462298419 km,29044.272494096767 km
167,129.045195935201,-40.69871796108488,575.9276358740495 km,27504.098526410373 km
168,111.23557853938321,-29.504332799791786,205.29227461609435 km,19713.530875392797 km
169,138.21868099807156,-20.13251202498297,459.272602883179 km,18180.707548482555 km
170,114.5622093005765,-20.277350413117592,208.60669850528427 km,9088.727550510934 km
171,118.48187777147123,-41.31845946631306,261.62131886220476 km,23159.969660164792 km
172,114.98479076671138,-42.944001526904806,523.2300797595873 km,18229.364210313834 km
173,152.6632173826619,-26.381695266898355,173.4751045390758 km,18236.294410885246 km
174,132.23354339141915,-12.822757047153239,290.9298267814179 km,6118.442153318439 km
175,113.32095366824511,-34.42442325434044,295.43027479464195 km,16778.869451504557 km
176,128.16128958062114,-12.900566228365808,415.2729382134538 km,28157.109799269805 km
177,153.60252488532774,-19.715404351988905,319.7853174454938 km,7408.57444974846 km
178,125.57837408418055,-28.1697310136838,545.1291040952574 km,12966.733426341081 km
179,124.43422463167563,-17.37161029050855,192.35780920411707 km,13856.202668344018 km
180,133.9362760197614,-25.376801167757407,186.49481663092683 km,17816.142620708622 km
181,116.72333108789292,-15.394085741801085,569.5314600065365 km,26748.138683506226 km
182,154.2245217806156,-37.75604060044677,522.0294997217661 km,8976.862042161947 km
183,137.0587788463635,-22.660380926914215,398.1665736405254 km,7316.778834293723 km
184,137.58842901879152,-34.45739074838188,409.13004612322766 km,17680.452128488654 km
185,114.12725478225279,-41.93694551425893,313.1403999792211 km,24768.200002214988 km
186,139.52440177291368,-30.572415763172735,376.01471739436647 km,24384.885228936262 km
187,127.9897302599601,-10.488088751512798,488.05952627022407 km,16028.53644887527 km
188,143.38059113052614,-11.49709879432504,566.4579179298046 km,14014.697812538087 km
189,153.46103504432926,-39.760708441381865,371.3605158711488 km,29126.128341092524 km
190,113.10052909594178,-33.28399647089066,245.0759086613107 km,18528.651297497774 km
191,147.3318661141764,-18.69511946149576,208.21066819454694 km,13616.86148318736 km
192,118.90841338093027,-32.08457033489212,268.34661303405255 km,23774.419358559404 km
193,113.77038590074275,-40.16400559858036,515.9977421889897 km,14249.81717274413 km
194,139.16771899891782,-34.3737413714762,496.42750244445085 km,28808.374730666346 km
195,134.87973409451806,-33.85628978667202,141.00188547717426 km,7934.959405053789 km
196,124.32492667001742,-31.99362289851758,373.6475825168796 km,8504.333724191023 km
197,129.02942590385723,-12.893306604926902,166.08816666239227 km,17322.924611245897 km
198,143.33696779927718,-44.13787721451694,388.77015350006053 km,21214.335888221016 km
199,118.79607210632902,-25.82913280865887,237.92340957738142 km,7537.147135701165 km
200,137.19612164848257,-32.41711767342776,446.4989232088928 km,23732.014771667127 km
201,141.37988268128282,-22.30053914263165,502.221349295277 km,27068.942665135102 km
202,129.46701328483655,-24.21099382043869,503.26272180555134 km,20180.216120898207 km
203,151.601925909112,-40.98734272419945,412.0491974267866 km,23459.48810928741 km
204,152.69062656035138,-39.509991494007636,438.1556854224708 km,13743.620079533668 km
205,126.15840064675456,-19.88791261461653,557.4129239894653 km,20343.75917228756 km
206,127.11092018519827,-9.757312174902822,510.1463382873148 km,22424.92610663527 km
207,131.25745006341785,-16.91031518957966,184.55087297184434 km,24822.98855195667 km
208,135.17575300961528,-42.67379646944877,100.20859514264754 km,6306.512535222079 km
209,152.92192256590278,-31.174468394765174,209.1536217345179 km,14763.091732161785 km
210,145.48279882227246,-20.368493736073983,410.9153160553359 km,13707.905313913214 km
211,127.70522751274953,-41.5161036397871,413.38879226518117 km,22074.101738435253 km
212,115.66379074762607,-12.825675818564878,309.70363187520934 km,11668.217278444155 km
213,143.2846203593098,-36.03000528553514,105.19456016999726 km,5162.660247130145 km
214,126.53906422178632,-31.699223516933674,453.5338372423129 km,21041.423415241115 km
215,131.26322470503823,-9.652379877870004,572.8475429071159 km,7292.435456674643 km
216,116.66978277655167,-12.860966406672482,437.0871620636699 km,21586.906688833096 km
217,152.1671024174521,-23.461824962677404,146.5644471803001 km,10116.885385881687 km
218,118.0636037648655,-41.683725576401095,304.90677322062317 km,21951.09227937231 km
219,151.53223624447656,-29.25831742976892,217.44425807905822 km,27537.545499641004 km
220,153.38662822753105,-12.285492755770825,385.95967769854894 km,19781.90107995127 km
221,141.26969898250175,-37.94456858484042,470.1556199695962 km,11053.290290766596 km
222,148.7236266294854,-39.96870631583593,372.6616116028349 km,29030.855143217996 km
223,139.3665807632092,-15.611622135609338,392.62511214336683 km,14955.358155828886 km
224,111.03706864481259,-24.85047490942815,341.16725819043904 km,24347.404731179 km
225,149.11806229113034,-22.209356304388244,219.95663610992875 km,25256.068970131124 km
226,152.19782096136572,-42.379938021817075,112.17123704866712 km,5800.7533756981575 km
227,131.90631049205263,-36.29137350228786,196.4266696267199 km,12946.377138895774 km
228,113.15872677525934,-31.01835964949027,199.18311967493963 km,7676.454251584107 km
229,152.0633638156545,-27.576293557469114,442.5297862181171 km,27293.595078990733 km
230,145.90672328860023,-21.88812292066342,468.5245884889121 km,26556.07081220304 km
231,153.26539035012755,-29.425191632187072,263.6384137339152 km,11635.200634484892 km
232,112.60420783721374,-25.03793217465695,562.6508568401373 km,15200.113622014653 km
233,141.49190832470805,-22.11305844152488,405.76039198948826 km,13966.90019057361 km
234,121.20619429486744,-37.5450362568058,546.2531720080325 km,6376.6957743513385 km
235,147.16278078609906,-17.554991986546845,293.00790595330943 km,18707.964702765043 km
236,139.6503213388243,-43.21554649344807,420.84411057614994 km,18401.026780127646 km
237,153.11465857256803,-31.492622331121567,387.3434259968816 km,24913.16477222193 km
238,147.37869653312006,-9.308755447652473,433.5115415872521 km,13668.284463283246 km
239,117.56098958828117,-12.080615199502844,161.01835477001043 km,21037.212690065997 km
240,150.32306376642455,-14.156833315447827,315.8038477345011 km,12071.3674523831 km
241,117.93767229998546,-15.161624219402103,295.1345095597345 km,25477.34457515982 km
242,124.94049492246094,-26.834634077403024,301.94729773591064 km,19830.217317973664 km
243,117.59551096916664,-37.219876833834185,511.8239778087632 km,12649.018636092052 km
244,113.58193146403069,-23.665462091611126,235.91108148307273 km,27595.156959651933 km
245,115.44986510863806,-9.362959761573158,158.38037238131432 km,19056.014394901176 km
246,121.34094528346375,-34.808039561938386,372.819938119975 km,20169.08896151895 km
247,122.8289510893645,-11.760129241913752,384.6903559560678 km,21270.309261192673 km
248,123.49558592306545,-32.15026987331841,541.1677764774836 km,28268.81912608288 km
249,123.36294464021388,-39.665559874558184,318.96243183041884 km,26738.487266870932 km
250,115.99492077558898,-22.86089136340808,347.2476666308766 km,13965.642486103538 km
251,125.46815840580823,-34.907221861271346,282.1609390101471 km,11465.203528513888 km
252,139.49138883053845,-36.30405481090787,326.7829745315772 km,22058.649486957172 km
253,132.6061540984016,-18.54148572370684,267.76241348148164 km,10901.655358471173 km
254,150.4633182696991,-42.99140556913623,477.0992115477239 km,20451.454363227473 km
255,118.81048645442092,-43.0066991438624,352.68738272233713 km,18184.993468798017 km
256,154.8566614716397,-35.40486975832866,551.815651571018 km,17752.779213652604 km
257,123.55853042652895,-11.120811846320123,588.8417216402211 km,22601.817365311716 km
258,136.99933380035816,-38.92465412917215,178.12059058756572 km,15338.472526581061 km
259,118.12989935865112,-39.10174208044857,119.05299310059367 km,16899.991682933967 km
260,154.4496084406033,-21.055268539278458,261.9440345880781 km,14921.01356551571 km
261,112.51119439745736,-19.044696824497073,581.8958885507645 km,21196.4109311976 km
262,126.65528080868188,-19.278418841249945,240.85520328084334 km,29638.551481157003 km
263,127.2008436043961,-43.729093987820804,135.32528027974845 km,8130.639403124394 km
264,118.69111480921217,-20.063125415200492,362.26031460857274 km,16668.145395099713 km
265,141.86169061621484,-14.389151314592425,170.5693749832829 km,13855.79636510416 km
266,119.31931201579286,-23.527204001364197,362.27387511739295 km,13796.800038530211 km
267,126.62303775157588,-13.126847256252404,383.41814299327814 km,14982.389796172136 km
268,141.17394550923103,-38.030640209496426,392.92782863696254 km,13641.319641488139 km
269,115.99178081234689,-13.75072190423963,345.7641520458814 km,15742.032659100156 km
270,129.62216532332977,-13.098144350919739,368.56020417897497 km,18631.61151820097 km
271,129.7216492496361,-31.495285640410835,134.6994662629845 km,24244.722681320032 km
272,133.8198139772187,-16.0906036568451,351.50743500442877 km,15626.182892779087 km
273,125.81018587660816,-12.673480585105779,477.112587154513 km,7288.10487859766 km
274,147.62819110435316,-25.67369939013192,465.86939051683953 km,9728.314551811236 km
275,119.79837532188093,-21.436601160511568,541.4613626572581 km,29236.413031647302 km
276,124.8196658533651,-16.716048297540578,396.2476524191702 km,28269.708299872862 km
277,143.80480878257382,-42.25209856790914,528.1037258263217 km,26494.733490379578 km
278,134.49253048046694,-42.890720109200025,567.8030107807249 km,24093.41662270877 km
279,124.87793304091444,-38.213158438560164,446.260725596517 km,16847.090412182035 km
280,145.44742310686945,-42.41566347619524,348.5994557090567 km,27713.717971237536 km
281,116.07005196515905,-42.058911113001365,522.3148039327493 km,20728.98394372894 km
282,154.58250672745964,-35.505776089187606,322.9458488929858 km,14664.013213515931 km
283,137.92866818423624,-17.988485770982162,598.8240068707149 km,16627.450795238303 km
284,138.90210028094285,-35.73176551726544,148.65335929577586 km,13983.746924291007 km
285,119.4768148146518,-27.570280804672397,371.4858027892373 km,10588.397736398809 km
286,133.08863160992476,-27.96567254581548,541.7757167861095 km,20660.32937575945 km
287,116.14287199904905,-20.622705581069386,546.0095465626964 km,9416.47402276941 km
288,124.54901495088625,-24.416028104330717,384.0004489956217 km,5157.07193973086 km
289,139.5573485044057,-36.25392057543847,212.63184449265822 km,19193.61851451102 km
290,125.1967707560864,-19.14585388952296,463.7685738515633 km,22857.857772922296 km
291,118.63579143821474,-42.15964128413029,498.673471449569 km,12875.947322447097 km
292,115.48879089035331,-40.814168572180755,274.1335348773762 km,28834.60961601866 km
293,146.98009183908374,-11.650990542695943,141.31841617718874 km,12626.620638835218 km
294,142.43727099955134,-13.835830367935358,383.61224526525365 km,15932.887097576371 km
295,112.69236934163123,-43.37200261680436,122.8793526769574 km,11675.449090568689 km
296,122.6833968460758,-40.734926321109604,468.1017685705937 km,25065.80601337858 km
297,152.58317795031257,-23.866583734167726,542.1173443970406 km,11543.163607796068 km
298,141.22445873450755,-28.63048972931803,453.22583125251697 km,7042.2000709167805 km
299,112.78522644157981,-27.02620127447478,267.7145424261357 km,8018.881178277727 km
300,119.81153302866616,-36.057844110672185,169.17564615334703 km,6877.630121263929 km
301,154.29304825500145,-15.531478852518582,228.46842057754543 km,5574.1380000912395 km
302,126.13559125339057,-15.776655613091258,581.519553803548 km,20716.801901726063 km
303,146.21569713197874,-23.36484223739472,255.17683305507697 km,12979.213214933869 km
304,128.83848131392338,-32.595243688393154,374.5100253190694 km,6967.358439644642 km
305,135.72206455096094,-13.441039299559463,375.91068960240864 km,29250.68183293597 km
306,113.99234660064553,-13.3291267947126,508.3458510867753 km,22082.060794188776 km
307,134.22873404685234,-23.708848819605503,539.2543303985467 km,28046.870876999255 km
308,137.82035788214128,-11.968458460457093,386.1178176173381 km,23809.070792532817 km
309,117.45186841227105,-39.65582830129562,583.0981153811997 km,25691.332563273667 km
310,118.35888423060398,-16.592103991744604,155.80095464833423 km,7115.675554947429 km
311,142.2923762006024,-21.967686882589234,172.98111603905005 km,22654.537340100516 km
312,128.54056489579645,-40.20033117779535,398.7889660179163 km,6506.794239049247 km
313,145.4832901975305,-39.24809311160025,551.6883050763215 km,23241.08164347295 km
314,149.74626208783872,-40.795749684340464,148.70170160734378 km,12248.210119647758 km
315,117.56948689355335,-36.1080049375444,597.8840141244198 km,15328.926915765485 km
316,134.84575657815427,-21.790169203815903,207.87810464873814 km,8105.934818742997 km
317,122.14391349393944,-30.611520336350804,386.59358788061724 km,21011.478742866355 km
318,140.07062022704724,-28.794728967790476,438.0375909861657 km,9484.516842217 km
319,112.7223771618156,-20.567339386219686,370.1672172402389 km,10720.70981172748 km
320,153.6299384155673,-19.293440828241454,240.50958034022332 km,25584.12160793007 km
321,126.04251311776959,-33.412466252238886,594.0871690376842 km,24259.701104646894 km
322,146.77937972060568,-30.139041517973304,269.43969605986945 km,21236.50100892959 km
323,154.55466065108513,-33.785487297983224,155.7030588005919 km,8084.422850433235 km
324,133.2871984438122,-40.73332795147192,451.7150327280521 km,10406.479440976616 km
325,124.94548853511031,-21.27255476505795,455.28058150178157 km,23038.150515824513 km
326,127.29140030255303,-28.4309787620077,205.44025662486072 km,24394.88948663644 km
327,134.95957001787545,-35.22040955826576,452.7539142105994 km,23167.088665336785 km
328,118.68578040435297,-11.121326271373164,155.67144568709426 km,29315.481502967858 km
329,131.2094280409042,-34.710823015496324,520.2977450034441 km,21835.653247213046 km
330,118.8194545213898,-42.51139453970241,285.0379277142294 km,18551.008582566676 km
331,135.64553909358176,-17.14016004021969,460.62923372153017 km,8923.838144655423 km
332,137.88561197307058,-42.19596137465589,143.76233749126567 km,14672.435943195826 km
333,117.47959352477363,-23.13367995776895,476.42519883294403 km,15309.279316524597 km
334,133.44619806684304,-43.59583736910636,165.68236020598505 km,15232.90264635367 km
335,128.12705304946394,-26.56673004296151,171.78752866570053 km,21554.219914106947 km
336,139.01312892133814,-40.11416470004284,483.41838088074854 km,14878.89100201663 km
337,138.5302764457441,-21.86000484008262,107.16472748467889 km,12161.606348464546 km
338,151.72712867888617,-20.675409559082286,130.9747628593886 km,26420.744466386444 km
339,128.23060053131243,-20.06179732573083,433.1226804850949 km,20530.23370306948 km
340,137.26315649472764,-19.032476622432732,342.303665765659 km,12262.28829843739 km
341,113.27377283352205,-37.31466570354308,188.56970129573244 km,17735.79226017583 km
342,128.92309132837732,-36.960827522556194,422.60591957007625 km,8622.851823476169 km
343,127.12164708972013,-10.709643748732383,261.48004940199036 km,16915.34720342051 km
344,146.07720633327202,-18.012523205415587,429.05351731376675 km,13620.91170687588 km
345,130.94461152844332,-39.94393980177174,458.90365015699166 km,26922.19525199059 km
346,152.60823936248067,-20.974954579804454,412.6340315049331 km,18875.718235423657 km
347,128.43473605328046,-37.46836296282026,373.2248603938431 km,25224.97614287829 km
348,116.65760160425137,-15.430035590177145,307.6646628938731 km,19097.81813197883 km
349,130.98045939089275,-32.473342743841464,270.64626023913945 km,21101.847424023024 km
350,127.97724003205076,-11.70517393177812,161.08606923740345 km,22326.34760448957 km
351,124.17760106288219,-22.12129205749681,586.9917167655108 km,24993.19893866133 km
352,137.6372694656748,-30.51284024545613,120.47226740958018 km,24459.46265050726 km
353,138.99079120208472,-34.31369897002526,580.7123006927732 km,27500.740520185103 km
354,122.81533272616483,-16.709386675798772,259.6555837230595 km,25559.127581450186 km
355,138.92509079197816,-17.394826807210887,497.6297319990815 km,10120.528474096061 km
356,131.6889466719523,-35.87840272367062,397.5884562609107 km,15829.136942033487 km
357,133.7367778979572,-36.601799168981,337.69040104987727 km,16371.255740068938 km
358,127.9095712100479,-39.26991411242801,242.73892765056422 km,11447.9736115378 km
